ninja: no work to do.
Normal cutoff is used
-5530.4501953125
-5530.3271484375
step,time,temp (K),E_pot (eV),nedges
2,2.0,291.306,-5529.964,28672
3,3.0,286.793,-5529.365,28672
4,4.0,280.585,-5528.543,28672
5,5.0,272.780,-5527.509,28672
6,6.0,263.497,-5526.279,28672
7,7.0,252.885,-5524.873,28672
8,8.0,241.111,-5523.313,28672
9,9.0,228.366,-5521.625,28672
10,10.0,214.859,-5519.835,28672
11,11.0,200.813,-5517.974,28672
12,12.0,186.466,-5516.073,28672
13,13.0,172.061,-5514.164,28672
14,14.0,157.845,-5512.280,28672
15,15.0,144.059,-5510.454,28672
16,16.0,130.938,-5508.715,28672
17,17.0,118.697,-5507.093,28672
18,18.0,107.531,-5505.614,28672
19,19.0,97.609,-5504.300,28672
20,20.0,89.067,-5503.168,28672
21,21.0,82.007,-5502.233,28672
22,22.0,76.493,-5501.503,28672
23,23.0,72.551,-5500.981,28672
24,24.0,70.173,-5500.667,28672
25,25.0,69.314,-5500.554,28672
26,26.0,69.896,-5500.632,28672
27,27.0,71.816,-5500.887,28672
28,28.0,74.945,-5501.302,28672
29,29.0,79.137,-5501.858,28672
30,30.0,84.231,-5502.534,28672
31,31.0,90.058,-5503.307,28672
32,32.0,96.444,-5504.153,28672
33,33.0,103.214,-5505.051,28672
34,34.0,110.196,-5505.977,28672
35,35.0,117.224,-5506.908,28672
36,36.0,124.142,-5507.825,28672
37,37.0,130.803,-5508.708,28672
38,38.0,137.075,-5509.539,28672
39,39.0,142.838,-5510.303,28672
40,40.0,147.987,-5510.984,28672
41,41.0,152.433,-5511.573,28672
42,42.0,156.104,-5512.060,28672
43,43.0,158.943,-5512.436,28672
44,44.0,160.909,-5512.696,28672
45,45.0,161.979,-5512.838,28672
46,46.0,162.147,-5512.860,28672
47,47.0,161.422,-5512.764,28672
48,48.0,159.832,-5512.554,28672
49,49.0,157.418,-5512.233,28672
50,50.0,154.238,-5511.812,28672
51,51.0,150.365,-5511.298,28672
52,52.0,145.885,-5510.705,28672
53,53.0,140.897,-5510.044,28672
54,54.0,135.515,-5509.331,28672
55,55.0,129.859,-5508.581,28672
56,56.0,124.060,-5507.812,28672
57,57.0,118.253,-5507.042,28672
58,58.0,112.580,-5506.291,28672
59,59.0,107.180,-5505.574,28672
60,60.0,102.190,-5504.913,28672
61,61.0,97.742,-5504.323,28672
62,62.0,93.959,-5503.821,28672
63,63.0,90.948,-5503.422,28672
64,64.0,88.802,-5503.138,28672
65,65.0,87.593,-5502.978,28672
66,66.0,87.372,-5502.947,28672
67,67.0,88.165,-5503.053,28672
68,68.0,89.974,-5503.292,28672
69,69.0,92.775,-5503.663,28672
70,70.0,96.520,-5504.160,28672
71,71.0,101.138,-5504.772,28672
72,72.0,106.538,-5505.487,28672
73,73.0,112.610,-5506.292,28672
74,74.0,119.230,-5507.169,28672
75,75.0,126.263,-5508.102,28672
76,76.0,133.569,-5509.069,28672
77,77.0,141.003,-5510.055,28672
78,78.0,148.421,-5511.038,28672
79,79.0,155.684,-5512.000,28672
80,80.0,162.660,-5512.925,28672
81,81.0,169.226,-5513.795,28672
82,82.0,175.270,-5514.596,28672
83,83.0,180.696,-5515.314,28672
84,84.0,185.422,-5515.940,28672
85,85.0,189.383,-5516.465,28672
86,86.0,192.529,-5516.881,28672
87,87.0,194.830,-5517.187,28672
88,88.0,196.271,-5517.377,28672
89,89.0,196.857,-5517.454,28672
90,90.0,196.608,-5517.421,28672
91,91.0,195.561,-5517.282,28672
92,92.0,193.767,-5517.044,28672
93,93.0,191.293,-5516.716,28672
94,94.0,188.220,-5516.309,28672
95,95.0,184.637,-5515.833,28672
96,96.0,180.647,-5515.305,28672
97,97.0,176.357,-5514.735,28672
98,98.0,171.883,-5514.143,28672
99,99.0,167.339,-5513.540,28672
100,100.0,162.843,-5512.944,28672
101,101.0,158.508,-5512.370,28672
Wall time:
7585.75390625
